	MI_dir_L0.1_weight	MI_dir_L0.1_mean	MI_dir_L0.1_variance	H_L0.1_weight	H_L0.1_mean	H_L0.1_variance	HH_L0.1_weight	HH_L0.1_mean	HH_L0.1_std	HH_L0.1_magnitude	HH_L0.1_radius	HH_L0.1_covariance	HH_L0.1_pcc	HH_jit_L0.1_weight	HH_jit_L0.1_mean	HH_jit_L0.1_variance	HpHp_L0.1_weight	HpHp_L0.1_mean	HpHp_L0.1_std
0	1	98	0	1	98	0	1	98	0	98	0	0	0	1	1505914321	0	1	98	0
1	1.931639688	98	1.82E-12	1.931639688	98	1.82E-12	1.931639688	98	1.35E-06	138.5929291	1.82E-12	0	0	1.931639688	726310169.4	5.66E+17	1.931639688	98	1.35E-06
2	2.904272573	86.98175044	231.1821626	2.904272573	86.98175044	231.1821626	1	66	0	114.8564321	0	0	0	1	1505914322	0	1	66	0
3	3.902545862	83.65526796	204.0614349	3.902545862	83.65526796	204.0614349	1	74	0	74	0	0	0	1	1505914322	0	1	74	0
4	4.90254483	81.68582794	177.5746385	4.90254483	81.68582794	177.5746385	1.999999736	74	9.54E-07	74	9.09E-13	0	0	1.999999736	752957061.6	5.67E+17	1	74	0
5	5.902539321	80.38370567	155.8025557	5.902539321	80.38370567	155.8025557	2.999997488	74	9.54E-07	74	9.09E-13	0	0	2.999997488	501971164.2	5.04E+17	1	74	0
6	613.818538	74.09509609	2.659110222	613.818538	74.09509609	2.659110222	610.1528391	74	3.81E-06	95.26804291	1.48E-11	4.22E-27	6.70E-16	610.1528391	2284732.917	3.43539E+15	1	74	0
7	614.7789272	74.09494141	2.654799597	614.7789272	74.09494141	2.654799597	611.1134649	74	3.81E-06	95.26804291	1.48E-11	4.22E-27	6.70E-16	611.1134649	2280994.278	3.42978E+15	1	74	0
8	615.6181697	74.09478719	2.650501803	615.6181697	74.09478719	2.650501803	611.9536658	74	3.57E-06	95.26804291	1.29E-11	4.23E-27	8.78E-16	611.9536658	2277266.881	3.42418E+15	1	74	0
9	616.596022	74.09463346	2.646217747	616.596022	74.09463346	2.646217747	612.93165	74	3.69E-06	95.26804291	1.38E-11	4.23E-27	8.48E-16	612.93165	2273551.512	3.4186E+15	1	74	0
10	617.4738888	74.0944802	2.641946673	617.4738888	74.0944802	2.641946673	613.8102426	74	3.69E-06	95.26804291	1.39E-11	4.23E-27	6.93E-16	613.8102426	2269847.515	3.41304E+15	1	74	0
11	618.1573707	74.09432736	2.637687183	618.1573707	74.09432736	2.637687183	614.4956025	74	3.57E-06	95.26804291	1.30E-11	4.23E-27	7.17E-16	614.4956025	2266153.676	3.4075E+15	1	74	0
12	619.1569927	74.09417501	2.633441404	619.1569927	74.09417501	2.633441404	615.4952267	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	615.4952267	2262471.839	3.40197E+15	1	74	0
13	620.1566448	74.09402315	2.629209269	620.1566448	74.09402315	2.629209269	616.4948809	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	616.4948809	2258801.943	3.39646E+15	1	74	0
